Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Hilliard City School District, Ohio",1178,82.8,85644,0.48,0.52,0.08,0.21,0.71,0.85,0.15,0.5,0.5,72941
2008,0,1,"Howland Local School District, Ohio",211,89.1,22307,0.46,0.54,0.05,0.15,0.8,0.93,0.07,0.75,0.25,47025
2013,1,1,"Howland Local School District, Ohio",218,92.7,21602,0.46,0.54,0.05,0.12,0.83,0.93,0.07,0.73,0.27,45459
2008,0,1,"Huber Heights City School District, Ohio",437,79.9,38805,0.48,0.52,0.07,0.19,0.74,0.83,0.17,0.79,0.21,58234
2013,1,1,"Huber Heights City School District, Ohio",417,79.9,42226,0.49,0.51,0.08,0.2,0.73,0.76,0.24,0.76,0.24,47217
2008,0,1,"Hudson City School District, Ohio",355,94.4,24395,0.49,0.51,0.06,0.26,0.68,0.92,0.08,0.33,0.67,109570
2013,1,1,"Hudson City School District, Ohio",281,92.9,23616,0.5,0.5,0.04,0.24,0.72,0.94,0.06,0.31,0.69,108361
2013,1,0,"Iowa City Community School District, Iowa",919,77,109650,0.5,0.5,0.06,0.13,0.81,0.83,0.17,0.43,0.57,46646
2008,0,0,"Iowa City Community School District, Iowa",769,73.5,101493,0.49,0.51,0.06,0.13,0.81,0.87,0.13,0.43,0.57,50451
2008,0,1,"Jackson Local School District, Ohio",75,73.3,38526,0.48,0.52,0.06,0.19,0.75,0.92,0.08,0.61,0.39,65680
2013,1,1,"Jackson Local School District, Ohio",455,94.5,37902,0.51,0.49,0.05,0.16,0.79,0.92,0.08,0.59,0.41,68004
2013,1,0,"Johnston Community School District, Iowa",455,93,34559,0.48,0.52,0.06,0.22,0.73,0.9,0.1,0.47,0.53,86137
2008,0,0,"Johnston Community School District, Iowa",410,87.6,29879,0.48,0.52,0.09,0.2,0.7,0.91,0.09,0.55,0.45,86165
