tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.297520899681873,10.596384701840863,2008,0,0,"Fort Dodge Community School District, Iowa",248,65.3,29658,0.51,0.49,0.06,0.17,0.76,0.9,0.1,0.82,0.18,39989,0
9.936438652675815,10.737439609687094,2008,0,1,"Franklin City School District, Ohio",205,80.0,20669,0.49,0.51,0.1,0.16,0.74,0.94,0.06,0.92,0.08,46047,0
9.928277721343347,10.755730309601852,2013,1,1,"Franklin City School District, Ohio",203,80.3,20501,0.5,0.5,0.06,0.16,0.77,0.94,0.06,0.87,0.13,46897,1
10.319562839756308,10.694623141424277,2008,0,1,"Fremont City School District, Ohio",299,69.2,30319,0.49,0.51,0.08,0.16,0.75,0.89,0.11,0.87,0.13,44117,0
10.291026272110837,10.594532525004203,2013,1,1,"Fremont City School District, Ohio",307,79.8,29466,0.49,0.51,0.06,0.16,0.78,0.87,0.13,0.86,0.14,39915,1
10.708399696426893,11.251521739037859,2008,0,1,"Gahanna-Jefferson City School District, Ohio",484,80.0,44729,0.49,0.51,0.08,0.18,0.74,0.81,0.19,0.54,0.46,76996,0
10.723509645430674,11.212927866795798,2013,1,1,"Gahanna-Jefferson City School District, Ohio",505,90.5,45410,0.5,0.5,0.06,0.2,0.74,0.81,0.19,0.51,0.49,74081,1
10.178806009504447,10.672831593431527,2008,0,1,"Garfield Heights City School District, Ohio",304,69.4,26338,0.46,0.54,0.06,0.2,0.74,0.75,0.25,0.87,0.13,43166,0
10.169192384934412,10.520023630724232,2013,1,1,"Garfield Heights City School District, Ohio",215,75.4,26086,0.45,0.55,0.06,0.17,0.77,0.62,0.38,0.84,0.16,37049,1
10.162191279248889,11.059346214138635,2008,0,1,"Green Local School District (Summit County), Ohio",302,89.7,25904,0.5,0.5,0.08,0.18,0.74,0.92,0.08,0.66,0.34,63534,0
10.160568654878034,10.917376753174178,2013,1,1,"Green Local School District (Summit County), Ohio",320,91.6,25862,0.5,0.5,0.04,0.18,0.79,0.93,0.07,0.67,0.33,55125,1
9.98686316145718,10.63643220297014,2008,0,1,"Greenville City School District, Ohio",192,78.7,21738,0.47,0.53,0.06,0.16,0.78,0.93,0.07,0.88,0.12,41623,0
9.995154741061953,10.437844138828483,2013,1,1,"Greenville City School District, Ohio",204,81.9,21919,0.47,0.53,0.06,0.15,0.79,0.93,0.07,0.88,0.12,34126,1
10.748990946688572,10.883579033460945,2008,0,1,"Groveport Madison Local School District, Ohio",439,66.3,46582,0.47,0.53,0.1,0.2,0.7,0.66,0.34,0.82,0.18,53293,0
10.717479742788276,10.787420368302158,2013,1,1,"Groveport Madison Local School District, Ohio",411,78.1,45137,0.48,0.52,0.08,0.17,0.75,0.6,0.4,0.85,0.15,48407,1
10.981829104361879,10.581292642796804,2008,0,1,"Hamilton City School District, Ohio",641,71.3,58795,0.49,0.51,0.08,0.16,0.76,0.9,0.1,0.87,0.13,39390,0
11.038688889434853,10.54157118232102,2013,1,1,"Hamilton City School District, Ohio",750,74.1,62235,0.47,0.53,0.08,0.16,0.76,0.86,0.14,0.85,0.15,37856,1
11.367043835448948,11.238199103678664,2008,0,1,"Hilliard City School District, Ohio",1111,79.7,86425,0.5,0.5,0.09,0.23,0.69,0.87,0.13,0.53,0.47,75977,0
11.357966124932085,11.19741988378385,2013,1,1,"Hilliard City School District, Ohio",1178,82.8,85644,0.48,0.52,0.08,0.21,0.71,0.85,0.15,0.5,0.5,72941,1
10.012700637509445,10.75845591922755,2008,0,1,"Howland Local School District, Ohio",211,89.1,22307,0.46,0.54,0.05,0.15,0.8,0.93,0.07,0.75,0.25,47025,0
9.980587472916977,10.724588097406535,2013,1,1,"Howland Local School District, Ohio",218,92.7,21602,0.46,0.54,0.05,0.12,0.83,0.93,0.07,0.73,0.27,45459,1
10.566330152831219,10.972241827536752,2008,0,1,"Huber Heights City School District, Ohio",437,79.9,38805,0.48,0.52,0.07,0.19,0.74,0.83,0.17,0.79,0.21,58234,0
10.650815105859214,10.762530454808159,2013,1,1,"Huber Heights City School District, Ohio",417,79.9,42226,0.49,0.51,0.08,0.2,0.73,0.76,0.24,0.76,0.24,47217,1
10.102174463416347,11.604328019943535,2008,0,1,"Hudson City School District, Ohio",355,94.4,24395,0.49,0.51,0.06,0.26,0.68,0.92,0.08,0.33,0.67,109570,0
10.069722070677152,11.593232753023905,2013,1,1,"Hudson City School District, Ohio",281,92.9,23616,0.5,0.5,0.04,0.24,0.72,0.94,0.06,0.31,0.69,108361,1
11.60505787373149,10.750363895525926,2013,1,0,"Iowa City Community School District, Iowa",919,77.0,109650,0.5,0.5,0.06,0.13,0.81,0.83,0.17,0.43,0.57,46646,0
11.527754962416227,10.828777668207083,2008,0,0,"Iowa City Community School District, Iowa",769,73.5,101493,0.49,0.51,0.06,0.13,0.81,0.87,0.13,0.43,0.57,50451,0
